# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.385722771229e-10       4.196786095376e-15       3.530234748965e-13       0.000000000000e+00       8.339000513591e-09       4.590209876006e-10      -1.846819919277e-12 
    3       1.312062235935e-10       5.380418554825e-15       3.973451367749e-13       0.000000000000e+00       5.140644747338e-09       3.262900274940e-10      -1.399368340504e-12 
    4       1.242873382193e-10       4.654777229508e-15       3.721479638811e-13       0.000000000000e+00       3.580034471106e-09       2.475576473986e-10      -9.165046707691e-13 
    5       1.191603499775e-10       3.106553439874e-15       3.174425630428e-13       0.000000000000e+00       2.676036631990e-09       1.958428206776e-10      -5.098705575972e-13 
    6       1.157101850262e-10       1.738664646953e-15       2.561622054707e-13       0.000000000000e+00       2.092759089525e-09       1.595373728508e-10      -2.103280864827e-13 
    7       1.135328847230e-10       9.406023446726e-16       2.016240444778e-13       0.000000000000e+00       1.690112954545e-09       1.328510948381e-10      -1.939916342518e-14 
    8       1.123513835502e-10       6.069320062306e-16       1.597100655679e-13       0.000000000000e+00       1.398209163501e-09       1.125866221231e-10       7.788230385871e-14 
    9       1.119143683575e-10       4.869473658589e-16       1.317718221461e-13       0.000000000000e+00       1.178403108491e-09       9.684661851478e-11       1.049389418221e-13 
   10       1.119869579841e-10       4.158373458703e-16       1.165199635818e-13       0.000000000000e+00       1.007906384237e-09       8.436572064928e-11       8.772795427944e-14 
   11       1.125138550205e-10       3.518712410684e-16       1.112948779277e-13       0.000000000000e+00       8.505637361836e-10       7.459451240481e-11       5.047779344415e-14 
   12       1.133366770384e-10       3.100752441999e-16       1.130181478997e-13       0.000000000000e+00       7.436650258548e-10       6.598102222771e-11       1.077304906831e-14 
   13       1.144071421666e-10       3.008641514590e-16       1.189814179425e-13       0.000000000000e+00       6.558432913563e-10       5.897952303820e-11      -1.931120929824e-14 
   14       1.156781018873e-10       3.161085107291e-16       1.271371332481e-13       0.000000000000e+00       5.827240620967e-10       5.288319396839e-11      -3.556172928865e-14 
   15       1.171342456397e-10       3.443721104146e-16       1.361713169584e-13       0.000000000000e+00       5.211347733773e-10       4.775167593069e-11      -3.822625248153e-14 
   16       1.186946134008e-10       3.836060930393e-16       1.454077257560e-13       0.000000000000e+00       4.687359569236e-10       4.332312810350e-11      -3.133197444285e-14 
   17       1.203932907376e-10       4.396672918520e-16       1.546170085133e-13       0.000000000000e+00       4.237593328654e-10       3.945450434330e-11      -2.013337413146e-14 
