# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384802968663e-10       4.194444482232e-15       3.528453083271e-13       2.355376053164e-19       8.305670885948e-09       4.577898342599e-10      -1.846129350823e-12 
    3       1.310866487714e-10       5.376586431347e-15       3.970024363773e-13       4.711741381297e-19       5.116326541654e-09       3.251412359748e-10      -1.398648607249e-12 
    4       1.241475017107e-10       4.650634368524e-15       3.716741086340e-13       7.855080777609e-19       3.559757841945e-09       2.464870351175e-10      -9.158606576808e-13 
    5       1.190039064573e-10       3.103097634301e-15       3.168836062065e-13       1.178665843029e-18       2.659134049334e-09       1.948542725528e-10      -5.093385074888e-13 
    6       1.155373742820e-10       1.736381379451e-15       2.555470791151e-13       1.650800871221e-18       2.078799161322e-09       1.586272990172e-10      -2.099110715361e-13 
    7       1.133426028695e-10       9.395281525005e-16       2.009531751500e-13       2.202090766428e-18       1.678465709541e-09       1.320110879412e-10      -1.908264863625e-14 
    8       1.121401477235e-10       6.068748676482e-16       1.589613876776e-13       2.832734073781e-18       1.388272301135e-09       1.118067980332e-10       7.812009300545e-14 
    9       1.116780704859e-10       4.876705219984e-16       1.309134449534e-13       3.542946774845e-18       1.169719953148e-09       9.611750720182e-11       1.051202826841e-13 
   10       1.117218747700e-10       4.171461234122e-16       1.155203223007e-13       4.332958606128e-18       1.000170863384e-09       8.368048175987e-11       8.787143652956e-14 
   11       1.122149213843e-10       3.536183670323e-16       1.101295603034e-13       5.203009305805e-18       8.431598162662e-10       7.393492465103e-11       5.059137049890e-14 
   12       1.130004660903e-10       3.121237552708e-16       1.116719013987e-13       6.153344893199e-18       7.369324981503e-10       6.535942550527e-11       1.087220348392e-14 
   13       1.140292452932e-10       3.030413459985e-16       1.174442868860e-13       7.184214081430e-18       6.496860248643e-10       5.839305447335e-11      -1.922607307283e-14 
   14       1.152544456964e-10       3.181747706105e-16       1.254014420788e-13       8.295864916082e-18       5.770653378158e-10       5.232812114008e-11      -3.548471886524e-14 
   15       1.166606838846e-10       3.460175454815e-16       1.342297793739e-13       9.488541722072e-18       5.159122640847e-10       4.722551692503e-11      -3.815712084514e-14 
   16       1.181692029358e-10       3.844728735059e-16       1.432511033237e-13       1.076248242755e-17       4.638983249043e-10       4.282510076604e-11      -3.126800930984e-14 
   17       1.198117471332e-10       4.393716346149e-16       1.522369777593e-13       1.211791631818e-17       4.192637799160e-10       3.898370700284e-11      -2.006896727255e-14 
   18       1.215216204338e-10       5.161998136708e-16       1.614453483140e-13       1.355506207130e-17       3.805114477060e-10       3.563468888492e-11      -9.486840040576e-15 
   19       1.233095285891e-10       6.152552945686e-16       1.710989854424e-13       1.507412739565e-17       3.470306182140e-10       3.272967103856e-11      -2.130587096094e-15 
   20       1.251694837357e-10       7.344903881958e-16       1.813389099100e-13       1.667530614923e-17       3.175348121822e-10       3.015011746835e-11       3.078875530953e-16 
   21       1.271024060435e-10       8.733324727034e-16       1.921167471869e-13       1.835878089358e-17       2.915631970753e-10       2.784911263850e-11      -1.561185310117e-15 
   22       1.290810833870e-10       1.031392500905e-15       2.032435686567e-13       2.012471973515e-17       2.684968734620e-10       2.576956525945e-11      -5.931448532413e-15 
   23       1.311105618075e-10       1.208902512585e-15       2.143874117442e-13       2.197328035016e-17       2.480203274080e-10       2.390375940422e-11      -1.102417728970e-14 
   24       1.331849669428e-10       1.406102671060e-15       2.251282771751e-13       2.390460677041e-17       2.296618624687e-10       2.223597995654e-11      -1.495537955444e-14 
   25       1.353059357745e-10       1.623121763022e-15       2.351765609320e-13       2.591883512722e-17       2.132065111673e-10       2.074483925504e-11      -1.688896974979e-14 
   26       1.374616307534e-10       1.860297757027e-15       2.442854395543e-13       2.801608978415e-17       1.983573816141e-10       1.939258089147e-11      -1.649803637769e-14 
   27       1.396469479096e-10       2.119756218242e-15       2.523377271626e-13       3.019648884193e-17       1.849369751318e-10       1.816166205564e-11      -1.442469747028e-14 
   28       1.418502327909e-10       2.404152623204e-15       2.592885384730e-13       3.246014148368e-17       1.727145690979e-10       1.703310952687e-11      -1.170870656160e-14 
   29       1.440808339980e-10       2.714963902772e-15       2.652101673490e-13       3.480715691658e-17       1.616280993527e-10       1.600495776307e-11      -9.031789497423e-15 
   30       1.463434095836e-10       3.053275484931e-15       2.702522725340e-13       3.723763687011e-17       1.515589108374e-10       1.507134500258e-11      -7.084807248671e-15 
   31       1.486321109499e-10       3.420135870323e-15       2.745663886948e-13       3.975167552487e-17       1.423021078033e-10       1.421757748943e-11      -6.502808373713e-15 
   32       1.509500434549e-10       3.816662839306e-15       2.780931898439e-13       4.234937071930e-17       1.338100633312e-10       1.343492960309e-11      -7.086632625993e-15 
   33       1.532943923221e-10       4.243968304383e-15       2.806942313768e-13       4.503081668999e-17       1.260228596381e-10       1.270961533734e-11      -8.275669953318e-15 
   34       1.556554027640e-10       4.703076134677e-15       2.822150676640e-13       4.779610266558e-17       1.188317023441e-10       1.202450897109e-11      -9.448809688246e-15 
   35       1.580353756279e-10       5.194747547095e-15       2.825214207099e-13       5.064531827885e-17       1.121998723644e-10       1.138167220572e-11      -1.031882294039e-14 
