# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539758240e+01 
       2.326967376526e-05       1.050303466615e+02 
       3.616372963947e-05       1.608013372177e+02 
       4.913726058908e-05       2.162205340992e+02 
       6.222535549630e-05       2.716175830276e+02 
       7.546398267914e-05       3.272419921034e+02 
       8.889031113686e-05       3.833087154953e+02 
       1.025430459556e-04       4.400168567661e+02 
       1.164627821606e-04       4.975594260353e+02 
       1.306923813332e-04       5.561290685342e+02 
       1.452773753209e-04       6.159222389017e+02 
       1.602664013077e-04       6.771424400392e+02 
       1.757116723447e-04       7.400030108370e+02 
       1.916694870808e-04       8.047296163271e+02 
       2.082007817954e-04       8.715627803636e+02 
       2.253717267954e-04       9.407603072954e+02 
       2.432543676180e-04       1.012599751469e+03 
       2.619273090887e-04       1.087380893299e+03 
       2.814764368350e-04       1.165428302648e+03 
       3.019956660435e-04       1.247093762006e+03 
       3.235877006993e-04       1.332758765180e+03 
       3.463647778621e-04       1.422836584333e+03 
       3.704493603543e-04       1.517774143247e+03 
       3.959747272868e-04       1.618053281200e+03 
       4.230853951560e-04       1.724191216832e+03 
       4.519372832768e-04       1.836739528287e+03 
       4.826975173611e-04       1.956282110962e+03 
       5.155437465279e-04       2.083430421843e+03 
       5.506628358540e-04       2.218816648484e+03 
       5.882487943983e-04       2.363083651440e+03 
       6.284998145830e-04       2.516871550769e+03 
       6.716143406905e-04       2.680800715414e+03 
       7.177861584853e-04       2.855451210368e+03 
       7.671986067553e-04       3.041339816041e+03 
       8.200181490390e-04       3.238894898344e+03 
       8.763876930455e-04       3.448431446369e+03 
       9.364201778720e-04       3.670127850653e+03 
       1.000193029296e-03       3.904007870741e+03 
       1.067744077653e-03       4.149928466526e+03 
       1.139069422528e-03       4.407576164514e+03 
       1.214123521084e-03       4.676473138321e+03 
       1.292821508324e-03       4.955991103941e+03 
       1.375043484184e-03       5.245351853306e+03 
       1.460640282666e-03       5.543695549677e+03 
       1.549440114178e-03       5.850117093492e+03 
       1.641255457310e-03       6.163647800165e+03 
       1.735889655132e-03       6.483306625446e+03 
       1.833142809841e-03       6.808122557753e+03 
       1.932816729317e-03       7.137154458687e+03 
       2.034718827560e-03       7.469505426440e+03 
       2.138664998307e-03       7.804333408346e+03 
       2.244481560134e-03       8.140857891797e+03 
       2.352006414304e-03       8.478361775114e+03 
       2.461089570942e-03       8.816193076153e+03 
       2.571593193781e-03       9.153762971060e+03 
       2.683391296900e-03       9.490542864466e+03 
       2.796369204942e-03       9.826060662004e+03 
       2.910422865544e-03       1.015989714855e+04 
       3.025458081673e-03       1.049168128565e+04 
       3.141389713497e-03       1.082108564353e+04 
       3.258140884718e-03       1.114782246013e+04 
       3.375642216713e-03       1.147164003114e+04 
       3.493831105161e-03       1.179231771367e+04 
       3.612651047396e-03       1.210966427142e+04 
       3.732051024208e-03       1.242351341391e+04 
       3.851984936650e-03       1.273372188702e+04 
       3.972411096403e-03       1.304016625809e+04 
       4.093291766891e-03       1.334274144020e+04 
       4.214592751694e-03       1.364135797240e+04 
       4.336283026372e-03       1.393594055394e+04 
       4.458334409815e-03       1.422642637262e+04 
       4.580721271248e-03       1.451276358840e+04 
       4.703420269259e-03       1.479490501537e+04 
       4.826410119451e-03       1.507277533540e+04 
       4.949671387590e-03       1.534645012768e+04 
       5.073186305432e-03       1.561582727908e+04 
       5.196938606661e-03       1.588091528520e+04 
       5.320913380673e-03       1.614174237233e+04 
       5.445096942154e-03       1.639830864668e+04 
       5.569476714656e-03       1.665055735934e+04 
       5.694041126572e-03       1.689775768966e+04 
       5.818779518084e-03       1.714141825730e+04 
       5.943682057842e-03       1.738079431074e+04 
       6.068739668277e-03       1.761586076676e+04 
       6.193943958564e-03       1.784675745686e+04 
       6.319287164388e-03       1.807358701921e+04 
       6.444762093754e-03       1.829638699179e+04 
       6.570362078173e-03       1.851449120062e+04 
       6.696080928642e-03       1.872853023142e+04 
       6.821912895890e-03       1.893838625489e+04 
       6.947852634446e-03       1.914422443987e+04 
       7.073895170104e-03       1.934599171316e+04 
       7.200035870447e-03       1.954366546282e+04 
       7.326270418095e-03       1.973732700141e+04 
       7.452594786405e-03       1.992684877773e+04 
       7.579005217378e-03       2.011261369674e+04 
       7.705498201531e-03       2.029495324904e+04 
       7.832070459557e-03       2.047287145653e+04 
       7.958718925593e-03       2.064692374538e+04 
       8.085440731924e-03       2.081716023204e+04 
       8.212233195007e-03       2.098366723365e+04 
       8.339093802667e-03       2.114641374369e+04 
       8.466020202373e-03       2.130545298813e+04 
       8.593010190477e-03       2.146082371287e+04 
       8.720061702340e-03       2.161256987600e+04 
       8.847172803251e-03       2.176072503644e+04 
       8.974341680084e-03       2.190529010755e+04 
       9.101566633608e-03       2.204637084744e+04 
       9.228846071407e-03       2.218397650688e+04 
       9.356178501349e-03       2.231813005659e+04 
       9.483562525558e-03       2.244889596660e+04 
       9.610996834852e-03       2.257629919820e+04 
       9.738480203593e-03       2.270041120762e+04 
       9.866011484932e-03       2.282112795557e+04 
       9.993589606404e-03       2.293870634949e+04 
       1.012121356585e-02       2.305292410778e+04 
       1.024888242764e-02       2.316401317238e+04 
       1.037659531916e-02       2.327203457466e+04 
       1.050435142758e-02       2.337685651387e+04 
       1.063214999681e-02       2.347853572733e+04 
       1.075999032471e-02       2.357730029910e+04 
       1.088787176051e-02       2.367291642633e+04 
       1.101579370235e-02       2.376560646945e+04 
       1.114375559508e-02       2.385535952933e+04 
       1.127175692811e-02       2.394220208955e+04 
       1.139979723352e-02       2.402615638353e+04 
       1.152787608424e-02       2.410726311691e+04 
       1.165599309233e-02       2.418556162281e+04 
       1.178414790747e-02       2.426108624469e+04 
       1.191234021548e-02       2.433385418986e+04 
       1.204056973694e-02       2.440397813200e+04 
       1.216883622598e-02       2.447121682542e+04 
       1.229713946909e-02       2.453593496993e+04 
       1.242547928400e-02       2.459799631819e+04 
       1.255385551873e-02       2.465749365149e+04 
       1.268226805060e-02       2.471441796389e+04 
       1.281071678538e-02       2.476892180106e+04 
       1.293920165651e-02       2.482073655624e+04 
       1.306772262429e-02       2.487018137407e+04 
       1.319627967526e-02       2.491717477250e+04 
       1.332487282152e-02       2.496189389351e+04 
       1.345350210015e-02       2.500412284777e+04 
       1.358216757269e-02       2.504404837076e+04 
       1.371086932460e-02       2.508156960357e+04 
       1.383960746488e-02       2.511691346733e+04 
       1.396838212557e-02       2.514999658046e+04 
       1.409719346145e-02       2.518089251913e+04 
       1.422604164965e-02       2.520961172965e+04 
       1.435492688938e-02       2.523621196166e+04 
       1.448384940161e-02       2.526066605141e+04 
       1.461280942891e-02       2.528299592505e+04 
       1.474180723514e-02       2.530321612821e+04 
       1.487084310533e-02       2.532152651417e+04 
       1.499991734553e-02       2.533772786891e+04 
       1.512903028262e-02       2.535207575896e+04 
       1.525818226427e-02       2.536429600474e+04 
       1.538737365882e-02       2.537468912689e+04 
       1.551660485524e-02       2.538317936386e+04 
       1.564587626308e-02       2.538975693479e+04 
       1.577518831247e-02       2.539451812390e+04 
       1.590454145413e-02       2.539746550149e+04 
       1.603393615938e-02       2.539871446054e+04 
       1.616337292021e-02       2.539800078981e+04 
       1.629285224932e-02       2.539569699523e+04 
       1.642237468024e-02       2.539163013527e+04 
       1.655194076742e-02       2.538592785366e+04 
       1.668155108635e-02       2.537848030400e+04 
       1.681120623368e-02       2.536939651702e+04 
       1.694090682744e-02       2.535874053670e+04 
       1.707065350717e-02       2.534652322076e+04 
       1.720044693410e-02       2.533280126342e+04 
       1.733028779142e-02       2.531738321306e+04 
       1.746017678444e-02       2.530055277052e+04 
       1.759011464089e-02       2.528222563577e+04 
       1.772010211114e-02       2.526239678463e+04 
       1.785013996851e-02       2.524038535239e+04 
       1.798022900954e-02       2.521783739963e+04 
       1.811037005432e-02       2.519455142256e+04 
       1.824056394678e-02       2.516901417901e+04 
       1.837081155511e-02       2.514154449275e+04 
       1.850111377203e-02       2.511368647967e+04 
       1.863147151523e-02       2.508488282579e+04 
       1.876188572773e-02       2.505425427439e+04 
       1.889235737834e-02       2.502174587161e+04 
       1.902288746202e-02       2.498904780173e+04 
       1.915347700039e-02       2.495477353026e+04 
       1.928412704214e-02       2.491828441000e+04 
       1.941483866358e-02       2.488133861781e+04 
       1.954561296905e-02       2.484468526368e+04 
       1.967645109154e-02       2.480560289515e+04 
       1.980735419314e-02       2.476542243556e+04 
       1.993832346565e-02       2.472425417926e+04 
       2.006936013115e-02       2.468145607625e+04 
       2.020046544259e-02       2.463794726885e+04 
       2.033164068438e-02       2.459456348137e+04 
       2.046288717307e-02       2.454924975078e+04 
       2.059420625801e-02       2.450284534937e+04 
       2.072559932200e-02       2.445463822970e+04 
       2.085706778199e-02       2.440666107074e+04 
       2.098861308985e-02       2.435825228514e+04 
       2.112023673309e-02       2.430748819149e+04 
